41.5,82569,527,3463227
41.3,44718,280,1864619
43.05,113616,679,4829927
42.9,142804,887,6199037
43.1,187179,1031,8094623
41.7,112693,685,4793158
41.55,46092,299,1924896
41,39901,263,1649820
39.35,145416,828,5833992
39.45,80234,487,3212361
38.5,72866,426,2834530
39.7,76510,353,3065769
38.65,38875,244,1503499
37.1,72073,498,2716327
37.85,93589,447,3567586
35.7,105296,720,3832873
37.2,113336,612,4194359
37,113190,756,4342630
34.9,134127,746,4839021
32.7,161018,751,5385664
34.2,173012,746,5705303
32.95,33811,268,1122006
30.35,56551,298,1729563
27.95,85833,427,2445710
25.75,95753,468,2494567
27.8,48360,324,1334475
29.95,62111,564,1801481
28.95,91603,519,2741865
29.4,23509,216,684351
28.6,18566,157,530443
27.45,23882,167,659118
27.3,24700,124,677683
26.5,74536,535,2009631
27,37416,184,1013225
27,49227,320,1328774
26.75,42192,288,1148375
26.4,33550,157,886976
24.55,61721,489,1552737
23.95,30116,273,704059
25.2,50820,350,1269595
27.2,54549,466,1472126
29.35,19448,102,570677
31.65,5631,30,178083
31.05,127392,896,4071029
28.6,67043,411,1969133
27.7,79574,607,2181286
29.9,44304,336,1280610
29.35,50969,488,1502465
30.65,50972,293,1541958
30.8,54296,416,1707616
30.15,35381,297,1067529
30.25,24446,198,741202
30.9,13641,122,409335
30.65,18449,101,571889
30.1,8336,100,254414
28.1,54314,282,1553570
30.2,67766,368,2029793
32.6,75217,377,2401207
33.35,95544,748,3187261
33.35,69230,513,2282909
31.65,128335,706,4170607
32.8,57202,339,1827233
32.2,21515,152,693084
33,69552,398,2303691
32.55,49011,343,1606433
33.5,85880,497,2897594
32.8,32913,247,1060629
32.85,50631,266,1674014
33,25942,201,856954
32.85,34201,226,1126837
34.2,68292,494,2337311
33.7,41190,266,1397183
34.05,18518,185,629634
34.1,19430,145,662433
33.9,40027,249,1354305
34.2,23382,185,797662
34.8,41407,257,1433220
37.55,155792,735,5732121
36.5,228676,1224,8566293
36.05,83028,560,3007577
33.5,81976,570,2798165
33.5,59721,499,1994303
33.55,17707,156,595425
32.95,23856,243,786770
32.85,19637,176,645965
34.05,30032,341,1013172
36.15,94138,509,3320037
37.05,132001,850,4991684
35.35,36251,316,1300825
34.7,45667,430,1589912
